requirement_id,model_or_evidence,literature_support,predicted,unit,confidence,status,remaining_validation
R01_liquid_delivery,baseline concept + viscosity,CHEN2023_OMEGA; DELLA2005_JAPS,"liquid emulsion, no solids injected",-,high (by design; analogue Chen 2023),PASS,Confirm no premature solids at mix temperature.
R02_viscosity,Taylor/Pal emulsion viscosity,MADBOULY2025_ACS_OMEGA; CHEN2023_OMEGA (analogue mixture is higher),approximately 0.64 (nominal 60 C),cP,medium-high at 20-80 C; DCPD 1 cP is published,PASS,Measure emulsion viscosity of the actual stabilizer package.
R03_transport_temperature,upper-T capability of exact PhaseForge,"Madbouly 40-60 C; Hu 50-80 C; Elser 2018; Momin 2021 (DSC, not isothermal 150 C)",moderate-T branch shows mechanism feasibility; PhaseForge-HT is the proposed 150 C pathway; DSC onset is not isothermal 25-75 min,degC,low at 150 C for exact PhaseForge; published Mo DSC onsets 52-142 C are not a hold-time proof,UNKNOWN,Isothermal latency of the exact brine-dispersed fluid at 150 C.
R04_transport_pressure,literature liquids + coupled notes,US11377580B2 HPHT polymer claims (not a particle-size study),10000 psi = 68.95 MPa; liquids remain liquid,psi,low (pressure effect on ROMP not retrieved as a quantitative rate law),UNKNOWN,"HPHT rheology and cure under 10,000 psi."
R05_post_transform_pressure,mechanics (temperature-qualified),PMC12566568; US11377580B2 Table 3 analogue at 98 C; CHEN2023 crush at 52-69 MPa (epoxy analogue),6000 psi = 41.4 MPa; moderate-T PASS; 150 C UNKNOWN,psi,medium at 60 C; UNKNOWN at 150 C,UNKNOWN,Particle crush at temperature and 6000 psi.
R06_controlled_activation,latent ROMP kinetics,KORDES2024_MME; HU2018_JPSE; US11377580B2,temperature + inhibitor index,-,medium (published latency analogues),PASS,Programmed delay in brine-dispersed droplets.
R07_transformation_window,Arrhenius t_solid (Ru/phosphite),MADBOULY2025; HU2018,approximately 78.0 min nominal; HPHT approximately 1.6 min FAIL,min,medium in 40-80 C; FAIL at 150 C for published Ru/phosphite,MARGINAL,Droplet-scale conversion in water at target T.
R08_discrete_particles,phi isolation + Della Martina analogue,DELLA2005_JAPS; CHEN2023_OMEGA,phi=0.85 continuous; discrete if phi<0.55,-,medium (analogue beads; not PhaseForge experiments),PASS,Morphology after cure in brine.
R09_particle_size,Hinze/Grace with dissipation sensitivity,Hinze 1955; Grace 1982; CHEN2023 shear-size trend,approximately 270 um nominal (robust range in diameter_sensitivity.csv),um,medium (order-of-magnitude; assumed dissipation structure),PASS,Measure d32 vs shear for the actual IFT.
R10_sphericity,interfacial energy + analogue,CHEN2023 sphericity vs sand; BAI2025 sphericity >=0.9; YANG2026 0.9,near-spherical expected if IFT-stabilized,-,"medium analogue, not measured here",MARGINAL,Image analysis of cured particles.
R11_minimal_adhesion,coalescence_risk_score heuristic (ASSUMED_FOR_SENSITIVITY),Chen interfacial-film discussion; no PhaseForge adhesion test,score approximately 0.27; heuristic cannot independently PASS,risk 0-1,low (no PhaseForge adhesion test),MARGINAL,Cure in contact; sticky-window mapping.
R12_load_bearing,mechanics SF at moderate T (PASS candidate),PMC12566568 78 MPa RT compression,SF approximately 1.4 at nominal T,-,medium at T≪Tg; UNKNOWN near Tg,PASS,Single-particle crush vs T.
R13_compressive_integrity,temperature-qualified SF vs 4500-6000 psi,"PMC12566568; US11377580B2 Table 3 (patent examples, not PhaseForge); pDCPD Tg 140-165 C",moderate T: PASS candidate (SF approximately 1.4); 98 C analogue bulk 33-50 MPa → MARGINAL; 150 C: UNKNOWN,dimensionless,low at 150 C; analogue only at 98 C,UNKNOWN,6000 psi crush at 150 C on actual particles.
R14_remain_distributed,liquid-liquid placement analogue,CHEN2023 complex-fracture fill; settling after cure unresolved,liquids can enter branches (Chen analogue),-,low-medium,MARGINAL,Flow-loop placement and post-cure distribution.
R15_open_pathways,A geometric connectivity; B analytical k; C unvalidated conductivity,Chen conductivity 10-30 MPa analogue (not PhaseForge k),A connected=True; porosity approximately 0.85; C=UNVALIDATED_UNDER_CLOSURE,-,MARGINAL until CFD/experiment; FAIL if disconnected,MARGINAL,Conductivity cell after in-situ formation under closure.
R16_flow_through_around,k_rel vs assumed k_open (not measured conductivity),Kozeny-Carman / dilute obstruction; Chen conductivity comparison is analogue,k_rel approximately 0.74 relative to assumed k_open=1e-8 m2,relative,low (assumption tagged),MARGINAL,Measured conductivity vs closure.
R17_no_bulk_gel,isolated droplet hypothesis,Della Martina microreactors; coalescence risk remains,PASS only if droplets remain isolated until solid,-,low-medium,MARGINAL,Visual bulk-gel vs bead formation tests.
